search_term;cluster;clicks;impressions;cost_rsd;conversions;flag_neg;flag_out_of_offer
drvena podloga za terasu;terasa-balkon;2;13;31;0;0;1
plocice za terasu spoljne;terasa-balkon;2;6;31;0;0;1
deking terasa;terasa-balkon;1;8;31;0;0;1
vinil pod;lvt-vinil-parket;2;24;30;0;0;0
plasticni laminat;lvt-vinil-parket;2;3;30;0;0;1
ferobeton cena po m2;ostalo;1;2;30;0;1;0
betonski podovi za terase;terasa-balkon;2;1;30;0;1;0
fero beton;ostalo;1;6;30;0;0;0
industrijski podovi cene;industrijski;2;5;30;0;0;0
sta staviti na pod terase;terasa-balkon;2;11;30;0;0;0
ikea podovi za terasu;terasa-balkon;1;3;30;0;0;0
epoksidni premaz za terase;epoksid-conquest;2;3;29;0;1;0
gumeni tepih za terasu;terasa-balkon;1;4;29;0;0;0
galerija podova near me;konkurenti;5;91;29;0;1;0
liveni podovi od epoksi smola;epoksid-conquest;1;2;29;0;1;0
lvt vinil podovi;lvt-vinil-parket;1;2;29;0;0;0
topli podovi cena;ostalo;2;3;28;0;1;1
plasticne ploce za terase;terasa-balkon;2;10;28;0;0;0
podne obloge preko plocica;ostalo;2;2;28;0;0;0
podne obloge cena;ostalo;2;6;28;0;0;0
teraco za terase;terasa-balkon;2;1;28;0;0;1
podloge za dvorista;dvoriste-basta;2;11;28;0;0;0
podloga za dvoriste;dvoriste-basta;2;22;28;0;0;0
plasticni deking cena;pvc-plastika;1;6;27;0;0;1
deking podovi novi sad;ostalo;1;1;27;0;0;1
podne obloge za spolja;ostalo;2;5;27;0;0;0
bergo podovi cena;ostalo;1;3;27;0;0;0
dekking;ostalo;1;2;27;0;0;0
podne obloge za terasu lidl;konkurenti;2;6;27;0;0;0
podovi za bazene;bazen;2;5;27;0;0;0
epoxy smola za garazu;epoksid-conquest;1;2;27;0;1;0
outdoor flooring;ostalo;1;1;27;0;1;0
gumeni podovi za svinje;gumeni-podovi;1;1;26;0;0;0
plastične podloge za terase;terasa-balkon;2;1;26;0;0;0
podloga za oko bazena;bazen;1;6;26;0;0;0
spc vinil ploce;lvt-vinil-parket;1;2;26;0;0;0
podni vinil podovi;lvt-vinil-parket;1;2;26;0;0;0
ferobeton cena;ostalo;1;2;26;0;1;0
plocice za garazu cena;garaza-servis;1;3;26;0;0;1
uradi sam podovi za terase;terasa-balkon;1;4;25;0;0;0
pod za bastu;dvoriste-basta;2;4;25;0;0;0
fero beton cena;ostalo;1;7;25;0;0;0
oblaganje terase;terasa-balkon;1;9;25;0;0;0
plasticne daske za podove;pvc-plastika;2;10;25;0;0;0
drvene podloge za dvoriste;dvoriste-basta;1;3;25;0;0;1
ploče za terase;terasa-balkon;1;4;24;0;0;0
podovi za garaže cijena;garaza-servis;1;1;24;0;0;0
podloga za pod;ostalo;2;9;24;0;0;0
pločice za terase;terasa-balkon;1;6;24;0;0;1
pvc deking cena;pvc-plastika;2;1;24;0;0;1
vinil 2mm;lvt-vinil-parket;1;2;24;0;0;0
pvc plocice za terasu;terasa-balkon;1;4;24;0;0;1
epoxi pod;epoksid-conquest;2;34;24;0;1;0
podovi za dnevnu sobu cena;ostalo;1;2;24;0;0;0
epoksidna smola za podove cena;epoksid-conquest;1;3;24;0;1;0
commercial flooring vinyl;lvt-vinil-parket;2;1;24;0;1;0
deking cena po m2;ostalo;1;5;24;0;0;1
vinil podovi za kuhinje;lvt-vinil-parket;1;2;24;0;0;0
topli podovi;ostalo;1;23;24;0;1;1
montaza dekinga;ostalo;1;2;24;0;0;1
baštenski nameštaj;dvoriste-basta;1;11;23;0;0;0
